station_name,city,datetime,air_temperature,air_temperature_dew_point,wind_speed_rate,visibility_distance,Season_name,month,hour
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-10 05:00:00,37.0,3.0,3.1,9900,Summer,8,5
HAIL,HAIL,2025-08-10 05:00:00,32.0,-5.0,1.0,9900,Summer,8,5
WEJH,WEJH,2025-08-10 05:00:00,31.0,26.0,0.0,9999,Summer,8,5
TAIF,TAIF,2025-08-10 05:00:00,29.0,11.0,1.5,9900,Summer,8,5
ABHA,ABHA,2025-08-10 05:00:00,24.0,4.0,1.5,9999,Summer,8,5
NEJRAN,NEJRAN,2025-08-10 05:00:00,33.0,4.0,1.0,9900,Summer,8,5
AL AHSA,AL AHSA,2025-08-10 05:00:00,39.0,18.0,2.6,7000,Summer,8,5
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-10 05:00:00,37.0,25.0,2.1,8000,Summer,8,5
QAISUMAH,QAISUMAH,2025-08-10 05:00:00,38.0,3.0,4.1,9900,Summer,8,5
TABUK,TABUK,2025-08-10 05:00:00,34.0,6.0,2.1,8000,Summer,8,5
ARAR,ARAR,2025-08-10 05:00:00,33.0,-3.0,5.1,9999,Summer,8,5
GURIAT,GURIAT,2025-08-10 05:00:00,32.0,18.0,6.2,9999,Summer,8,5
BISHA,BISHA,2025-08-10 05:00:00,32.0,9.0,3.6,9900,Summer,8,5
SHARURAH,SHARURAH,2025-08-10 05:00:00,31.0,15.0,6.2,9900,Summer,8,5
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-10 05:00:00,33.0,27.0,2.1,8000,Summer,8,5
KING KHALED INTL,KING KHALED INTL,2025-08-10 05:00:00,37.0,11.0,1.0,1600,Summer,8,5
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-10 05:00:00,36.0,2.0,1.0,9900,Summer,8,5
RAFHA,RAFHA,2025-08-10 05:00:00,36.0,4.0,0.0,9900,Summer,8,5
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-10 05:00:00,36.0,4.0,3.1,9900,Summer,8,5
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-10 05:00:00,38.0,25.0,1.5,7000,Summer,8,5
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-10 05:00:00,35.0,4.0,7.2,7000,Summer,8,5
TURAIF,TURAIF,2025-08-10 05:00:00,34.0,0.0,4.1,7000,Summer,8,5
KING KHALED AB,KING KHALED AB,2025-08-10 04:00:00,21.0,8.0,0.0,9999,Summer,8,4
HAIL,HAIL,2025-08-10 04:00:00,27.0,-6.0,2.1,9900,Summer,8,4
GASSIM,GASSIM,2025-08-10 04:00:00,30.0,5.0,1.5,9900,Summer,8,4
TAIF,TAIF,2025-08-10 04:00:00,25.0,16.0,0.0,9999,Summer,8,4
ABHA,ABHA,2025-08-10 04:00:00,21.0,5.0,2.1,9999,Summer,8,4
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-10 04:00:00,33.0,4.0,3.1,9900,Summer,8,4
YENBO,YENBO,2025-08-10 04:00:00,32.0,27.0,2.6,9900,Summer,8,4
AL AHSA,AL AHSA,2025-08-10 04:00:00,37.0,18.0,1.0,8000,Summer,8,4
TABUK,TABUK,2025-08-10 04:00:00,33.0,5.0,2.1,8000,Summer,8,4
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-10 04:00:00,33.0,26.0,3.1,9900,Summer,8,4
NEJRAN,NEJRAN,2025-08-10 04:00:00,28.0,4.0,1.0,9900,Summer,8,4
AL BAHA,AL BAHA,2025-08-10 04:00:00,27.0,5.0,3.1,9900,Summer,8,4
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-10 04:00:00,36.0,3.0,3.6,9999,Summer,8,4
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-10 04:00:00,35.0,30.0,1.0,7000,Summer,8,4
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-10 04:00:00,35.0,28.0,1.5,8000,Summer,8,4
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-10 04:00:00,33.0,6.0,6.7,7000,Summer,8,4
WEJH,WEJH,2025-08-10 04:00:00,30.0,25.0,1.5,9999,Summer,8,4
RAFHA,RAFHA,2025-08-10 04:00:00,31.0,2.0,0.0,9900,Summer,8,4
TURAIF,TURAIF,2025-08-10 04:00:00,33.0,-2.0,4.1,8000,Summer,8,4
GURIAT,GURIAT,2025-08-10 04:00:00,32.0,18.0,4.1,9999,Summer,8,4
BISHA,BISHA,2025-08-10 04:00:00,30.0,9.0,3.1,9900,Summer,8,4
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-10 04:00:00,32.0,28.0,1.5,8000,Summer,8,4
KING KHALED INTL,KING KHALED INTL,2025-08-10 04:00:00,33.0,11.0,0.0,1600,Summer,8,4
QAISUMAH,QAISUMAH,2025-08-10 04:00:00,34.0,4.0,3.1,9900,Summer,8,4
AL JOUF,AL JOUF,2025-08-10 04:00:00,33.0,-1.0,2.6,9999,Summer,8,4
SHARURAH,SHARURAH,2025-08-10 04:00:00,30.0,14.0,3.1,9900,Summer,8,4
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-10 04:00:00,33.0,3.0,1.0,9900,Summer,8,4
ARAR,ARAR,2025-08-10 04:00:00,31.0,-3.0,4.1,9999,Summer,8,4
KING KHALED AB,KING KHALED AB,2025-08-10 03:00:00,19.0,8.0,0.0,9999,Summer,8,3
NEJRAN,NEJRAN,2025-08-10 03:00:00,27.0,3.0,0.0,9900,Summer,8,3
SHARURAH,SHARURAH,2025-08-10 03:00:00,29.0,14.0,3.6,9900,Summer,8,3
AL AHSA,AL AHSA,2025-08-10 03:00:00,33.9,19.0,0.0,8000,Summer,8,3
HAIL,HAIL,2025-08-10 03:00:00,28.0,-6.0,0.0,9900,Summer,8,3
GASSIM,GASSIM,2025-08-10 03:00:00,28.8,6.0,2.1,10000,Summer,8,3
QAISUMAH,QAISUMAH,2025-08-10 03:00:00,32.0,3.0,3.1,9900,Summer,8,3
TABUK,TABUK,2025-08-10 03:00:00,33.6,5.0,3.6,8000,Summer,8,3
AL JOUF,AL JOUF,2025-08-10 03:00:00,31.0,-2.0,3.6,9999,Summer,8,3
RAFHA,RAFHA,2025-08-10 03:00:00,27.9,1.0,0.0,10000,Summer,8,3
TURAIF,TURAIF,2025-08-10 03:00:00,33.0,-2.0,2.1,9999,Summer,8,3
GURIAT,GURIAT,2025-08-10 03:00:00,31.0,18.0,6.2,9999,Summer,8,3
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-10 03:00:00,32.0,26.0,3.1,9900,Summer,8,3
TAIF,TAIF,2025-08-10 03:00:00,24.5,15.0,2.1,10000,Summer,8,3
ABHA,ABHA,2025-08-10 03:00:00,20.0,4.0,0.0,9999,Summer,8,3
BISHA,BISHA,2025-08-10 03:00:00,30.0,9.0,4.6,9900,Summer,8,3
NEJRAN,NEJRAN,2025-08-10 03:00:00,26.8,3.0,0.0,10000,Summer,8,3
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-10 03:00:00,35.0,3.0,2.6,8000,Summer,8,3
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-10 03:00:00,33.0,32.0,1.0,7000,Summer,8,3
GASSIM,GASSIM,2025-08-10 03:00:00,29.0,6.0,2.1,9900,Summer,8,3
WEJH,WEJH,2025-08-10 03:00:00,30.0,26.0,2.6,9999,Summer,8,3
TABUK,TABUK,2025-08-10 03:00:00,34.0,5.0,3.6,8000,Summer,8,3
AL JOUF,AL JOUF,2025-08-10 03:00:00,30.6,-2.0,3.6,10000,Summer,8,3
RAFHA,RAFHA,2025-08-10 03:00:00,28.0,1.0,0.0,9900,Summer,8,3
ARAR,ARAR,2025-08-10 03:00:00,31.0,-3.0,4.6,9999,Summer,8,3
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-10 03:00:00,32.4,26.0,3.1,10000,Summer,8,3
KING KHALED AB,KING KHALED AB,2025-08-10 03:00:00,19.2,8.0,0.0,10000,Summer,8,3
ABHA,ABHA,2025-08-10 03:00:00,19.7,4.0,0.0,10000,Summer,8,3
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-10 03:00:00,30.6,3.0,2.1,10000,Summer,8,3
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-10 03:00:00,31.0,3.0,2.1,9900,Summer,8,3
SHARURAH,SHARURAH,2025-08-10 03:00:00,29.2,14.0,3.6,10000,Summer,8,3
AL BAHA,AL BAHA,2025-08-10 03:00:00,27.0,7.0,3.6,9900,Summer,8,3
MINA,MINA,2025-08-10 03:00:00,33.1,24.0,0.0,10000,Summer,8,3
KING KHALED INTL,KING KHALED INTL,2025-08-10 03:00:00,31.0,11.0,0.0,2000,Summer,8,3
YENBO,YENBO,2025-08-10 03:00:00,31.4,27.0,0.0,10000,Summer,8,3
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-10 03:00:00,35.4,3.0,2.6,8000,Summer,8,3
AL AHSA,AL AHSA,2025-08-10 03:00:00,34.0,19.0,0.0,8000,Summer,8,3
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-10 03:00:00,33.0,3.0,0.0,9900,Summer,8,3
QAISUMAH,QAISUMAH,2025-08-10 03:00:00,32.4,3.0,3.1,10000,Summer,8,3
TURAIF,TURAIF,2025-08-10 03:00:00,33.0,-2.0,2.1,10000,Summer,8,3
ARAR,ARAR,2025-08-10 03:00:00,31.2,-3.0,4.6,10000,Summer,8,3
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-10 03:00:00,31.5,28.0,4.6,8000,Summer,8,3
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-10 03:00:00,32.0,28.0,4.6,8000,Summer,8,3
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-10 03:00:00,32.2,28.0,0.0,10000,Summer,8,3
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-10 03:00:00,34.0,6.0,7.2,7000,Summer,8,3
HAIL,HAIL,2025-08-10 03:00:00,28.0,-6.0,0.0,10000,Summer,8,3
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-10 03:00:00,33.2,3.0,0.0,10000,Summer,8,3
GURIAT,GURIAT,2025-08-10 03:00:00,31.4,18.0,6.2,10000,Summer,8,3
AL-DAWADAMI,AL-DAWADAMI,2025-08-10 03:00:00,33.5,6.0,7.2,7000,Summer,8,3
TAIF,TAIF,2025-08-10 03:00:00,25.0,15.0,2.1,9999,Summer,8,3
BISHA,BISHA,2025-08-10 03:00:00,30.3,9.0,4.6,10000,Summer,8,3
AL BAHA,AL BAHA,2025-08-10 03:00:00,26.6,7.0,3.6,10000,Summer,8,3
KING KHALED INTL,KING KHALED INTL,2025-08-10 03:00:00,30.7,11.0,0.0,2000,Summer,8,3
YENBO,YENBO,2025-08-10 03:00:00,31.0,27.0,0.0,9900,Summer,8,3
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-10 03:00:00,32.0,28.0,0.0,9900,Summer,8,3
WEJH,WEJH,2025-08-10 03:00:00,30.0,26.0,2.6,10000,Summer,8,3
ABHA,ABHA,2025-08-10 02:00:00,20.0,5.0,0.0,9900,Summer,8,2
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-10 02:00:00,30.0,4.0,3.1,9900,Summer,8,2
KING KHALED INTL,KING KHALED INTL,2025-08-10 02:00:00,31.0,9.0,0.0,2000,Summer,8,2
AL AHSA,AL AHSA,2025-08-10 02:00:00,34.0,20.0,1.0,9900,Summer,8,2
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-10 02:00:00,32.0,28.0,1.5,9900,Summer,8,2
WEJH,WEJH,2025-08-10 02:00:00,31.0,25.0,3.1,9900,Summer,8,2
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-10 02:00:00,34.0,4.0,1.0,9999,Summer,8,2
RAFHA,RAFHA,2025-08-10 02:00:00,29.0,2.0,0.0,9900,Summer,8,2
TURAIF,TURAIF,2025-08-10 02:00:00,30.0,-3.0,0.0,9900,Summer,8,2
TAIF,TAIF,2025-08-10 02:00:00,26.0,13.0,2.6,9999,Summer,8,2
KING KHALED AB,KING KHALED AB,2025-08-10 02:00:00,20.0,11.0,1.5,9900,Summer,8,2
NEJRAN,NEJRAN,2025-08-10 02:00:00,27.0,3.0,1.5,9900,Summer,8,2
AL BAHA,AL BAHA,2025-08-10 02:00:00,27.0,6.0,3.1,9900,Summer,8,2
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-10 02:00:00,32.0,29.0,2.1,9999,Summer,8,2
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-10 02:00:00,33.0,29.0,1.0,8000,Summer,8,2
BISHA,BISHA,2025-08-10 02:00:00,31.0,9.0,4.1,9900,Summer,8,2
HAIL,HAIL,2025-08-10 02:00:00,29.0,-4.0,0.0,9900,Summer,8,2
GASSIM,GASSIM,2025-08-10 02:00:00,29.0,7.0,1.5,9900,Summer,8,2
QAISUMAH,QAISUMAH,2025-08-10 02:00:00,34.0,3.0,3.1,9900,Summer,8,2
TABUK,TABUK,2025-08-10 02:00:00,34.0,5.0,2.6,8000,Summer,8,2
ARAR,ARAR,2025-08-10 02:00:00,32.0,-4.0,4.1,9900,Summer,8,2
YENBO,YENBO,2025-08-10 02:00:00,31.0,28.0,2.1,9999,Summer,8,2
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-10 02:00:00,36.0,6.0,3.1,8000,Summer,8,2
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-10 02:00:00,34.0,5.0,8.2,7000,Summer,8,2
AL JOUF,AL JOUF,2025-08-10 02:00:00,30.0,-2.0,4.1,9999,Summer,8,2
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-10 02:00:00,33.0,28.0,2.1,9900,Summer,8,2
SHARURAH,SHARURAH,2025-08-10 02:00:00,30.0,14.0,5.1,9900,Summer,8,2
GURIAT,GURIAT,2025-08-10 02:00:00,32.0,17.0,5.1,9999,Summer,8,2
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-10 01:00:00,37.0,999.9,3.1,9000,Summer,8,1
HAIL,HAIL,2025-08-10 01:00:00,32.0,-5.0,0.0,9900,Summer,8,1
TABUK,TABUK,2025-08-10 01:00:00,35.0,5.0,2.1,9999,Summer,8,1
AL JOUF,AL JOUF,2025-08-10 01:00:00,30.0,-2.0,2.1,9999,Summer,8,1
TURAIF,TURAIF,2025-08-10 01:00:00,31.0,-2.0,0.0,9900,Summer,8,1
ARAR,ARAR,2025-08-10 01:00:00,32.0,-3.0,2.1,9999,Summer,8,1
BISHA,BISHA,2025-08-10 01:00:00,33.0,5.0,4.1,9900,Summer,8,1
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-10 01:00:00,32.0,28.0,2.6,9999,Summer,8,1
GASSIM,GASSIM,2025-08-10 01:00:00,30.0,7.0,0.0,9900,Summer,8,1
QAISUMAH,QAISUMAH,2025-08-10 01:00:00,34.0,4.0,2.1,9900,Summer,8,1
GURIAT,GURIAT,2025-08-10 01:00:00,34.0,16.0,6.2,9999,Summer,8,1
KING KHALED AB,KING KHALED AB,2025-08-10 01:00:00,22.0,7.0,0.0,9999,Summer,8,1
SHARURAH,SHARURAH,2025-08-10 01:00:00,31.0,11.0,4.6,9900,Summer,8,1
KING KHALED INTL,KING KHALED INTL,2025-08-10 01:00:00,32.0,9.0,0.0,2000,Summer,8,1
YENBO,YENBO,2025-08-10 01:00:00,32.0,28.0,2.1,9999,Summer,8,1
WEJH,WEJH,2025-08-10 01:00:00,31.0,25.0,3.6,9900,Summer,8,1
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-10 01:00:00,37.0,4.0,2.1,9999,Summer,8,1
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-10 01:00:00,33.0,26.0,2.1,9900,Summer,8,1
TAIF,TAIF,2025-08-10 01:00:00,26.0,14.0,3.1,9999,Summer,8,1
ABHA,ABHA,2025-08-10 01:00:00,20.0,7.0,0.0,9900,Summer,8,1
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-10 01:00:00,33.0,3.0,1.0,9900,Summer,8,1
NEJRAN,NEJRAN,2025-08-10 01:00:00,27.0,3.0,0.0,9900,Summer,8,1
AL BAHA,AL BAHA,2025-08-10 01:00:00,27.0,7.0,1.5,9900,Summer,8,1
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-10 01:00:00,33.0,31.0,1.5,8000,Summer,8,1
AL AHSA,AL AHSA,2025-08-10 01:00:00,35.0,20.0,1.5,9900,Summer,8,1
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-10 01:00:00,33.0,28.0,1.5,9900,Summer,8,1
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-10 01:00:00,32.0,5.0,6.7,7000,Summer,8,1
RAFHA,RAFHA,2025-08-10 01:00:00,30.0,1.0,0.0,9900,Summer,8,1
AL-DAWADAMI,AL-DAWADAMI,2025-08-10 00:00:00,32.4,4.0,6.7,7000,Summer,8,0
TAIF,TAIF,2025-08-10 00:00:00,25.4,15.0,1.0,10000,Summer,8,0
TAIF,TAIF,2025-08-10 00:00:00,25.0,15.0,1.0,9999,Summer,8,0
ABHA,ABHA,2025-08-10 00:00:00,20.9,11.0,0.0,10000,Summer,8,0
BISHA,BISHA,2025-08-10 00:00:00,33.0,6.0,2.6,10000,Summer,8,0
BISHA,BISHA,2025-08-10 00:00:00,33.0,6.0,2.6,9900,Summer,8,0
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-10 00:00:00,34.0,4.0,4.1,9900,Summer,8,0
SHARURAH,SHARURAH,2025-08-10 00:00:00,32.0,4.0,4.6,9900,Summer,8,0
KING KHALED INTL,KING KHALED INTL,2025-08-10 00:00:00,33.0,10.0,0.0,2000,Summer,8,0
YENBO,YENBO,2025-08-10 00:00:00,32.2,27.0,4.1,10000,Summer,8,0
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-10 00:00:00,38.3,4.0,1.5,6000,Summer,8,0
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-10 00:00:00,38.0,4.0,1.5,6000,Summer,8,0
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-10 00:00:00,32.0,4.0,6.7,7000,Summer,8,0
TABUK,TABUK,2025-08-10 00:00:00,37.5,5.0,2.1,10000,Summer,8,0
TURAIF,TURAIF,2025-08-10 00:00:00,31.0,-4.0,0.0,9900,Summer,8,0
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-10 00:00:00,33.2,24.0,2.1,10000,Summer,8,0
KING KHALED AB,KING KHALED AB,2025-08-10 00:00:00,22.0,12.0,0.0,9999,Summer,8,0
SHARURAH,SHARURAH,2025-08-10 00:00:00,31.7,4.0,4.6,10000,Summer,8,0
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-10 00:00:00,33.4,26.0,1.0,10000,Summer,8,0
KING KHALED INTL,KING KHALED INTL,2025-08-10 00:00:00,33.0,10.0,0.0,2000,Summer,8,0
GASSIM,GASSIM,2025-08-10 00:00:00,32.4,5.0,0.5,10000,Summer,8,0
ARAR,ARAR,2025-08-10 00:00:00,33.2,-4.0,2.6,10000,Summer,8,0
GURIAT,GURIAT,2025-08-10 00:00:00,35.0,15.0,6.2,9999,Summer,8,0
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-10 00:00:00,33.0,32.0,2.6,8000,Summer,8,0
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-10 00:00:00,33.6,28.0,2.6,10000,Summer,8,0
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-10 00:00:00,34.0,28.0,2.6,9900,Summer,8,0
HAIL,HAIL,2025-08-10 00:00:00,29.0,-6.0,0.0,9900,Summer,8,0
WEJH,WEJH,2025-08-10 00:00:00,31.2,24.0,4.1,10000,Summer,8,0
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-10 00:00:00,36.0,5.0,2.1,9999,Summer,8,0
GURIAT,GURIAT,2025-08-10 00:00:00,35.2,15.0,6.2,10000,Summer,8,0
KING KHALED AB,KING KHALED AB,2025-08-10 00:00:00,22.1,12.0,0.0,10000,Summer,8,0
ABHA,ABHA,2025-08-10 00:00:00,21.0,11.0,0.0,9900,Summer,8,0
NEJRAN,NEJRAN,2025-08-10 00:00:00,27.7,3.0,0.0,10000,Summer,8,0
NEJRAN,NEJRAN,2025-08-10 00:00:00,28.0,3.0,0.0,9900,Summer,8,0
AL BAHA,AL BAHA,2025-08-10 00:00:00,27.9,7.0,2.6,10000,Summer,8,0
AL BAHA,AL BAHA,2025-08-10 00:00:00,28.0,7.0,2.6,9900,Summer,8,0
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-10 00:00:00,33.0,26.0,1.0,9999,Summer,8,0
AL AHSA,AL AHSA,2025-08-10 00:00:00,35.3,21.0,1.5,10000,Summer,8,0
AL AHSA,AL AHSA,2025-08-10 00:00:00,35.0,21.0,1.5,9900,Summer,8,0
HAIL,HAIL,2025-08-10 00:00:00,28.8,-6.0,0.0,10000,Summer,8,0
GASSIM,GASSIM,2025-08-10 00:00:00,32.0,5.0,0.5,9900,Summer,8,0
QAISUMAH,QAISUMAH,2025-08-10 00:00:00,35.0,3.0,2.1,9900,Summer,8,0
AL JOUF,AL JOUF,2025-08-10 00:00:00,30.0,-2.0,2.6,9999,Summer,8,0
TURAIF,TURAIF,2025-08-10 00:00:00,31.0,-4.0,0.0,10000,Summer,8,0
ARAR,ARAR,2025-08-10 00:00:00,33.0,-4.0,2.6,9900,Summer,8,0
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-10 00:00:00,33.0,24.0,2.1,9900,Summer,8,0
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-10 00:00:00,33.6,4.0,4.1,10000,Summer,8,0
MINA,MINA,2025-08-10 00:00:00,33.4,23.0,3.6,10000,Summer,8,0
YENBO,YENBO,2025-08-10 00:00:00,32.0,27.0,4.1,9999,Summer,8,0
WEJH,WEJH,2025-08-10 00:00:00,31.0,24.0,4.1,9999,Summer,8,0
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-10 00:00:00,36.1,5.0,2.1,10000,Summer,8,0
QAISUMAH,QAISUMAH,2025-08-10 00:00:00,35.2,3.0,2.1,10000,Summer,8,0
TABUK,TABUK,2025-08-10 00:00:00,38.0,5.0,2.1,9999,Summer,8,0
AL JOUF,AL JOUF,2025-08-10 00:00:00,30.1,-2.0,2.6,10000,Summer,8,0
RAFHA,RAFHA,2025-08-10 00:00:00,29.5,1.0,0.0,10000,Summer,8,0
RAFHA,RAFHA,2025-08-10 00:00:00,30.0,1.0,0.0,9900,Summer,8,0
KING ABDULLAH BIN ABDULAZIZ,KING ABDULLAH BIN ABDULAZIZ,2025-08-09 23:00:00,34.0,22.0,2.1,9900,Summer,8,23
ABHA,ABHA,2025-08-09 23:00:00,20.0,13.0,0.0,9900,Summer,8,23
NEJRAN,NEJRAN,2025-08-09 23:00:00,29.0,3.0,0.0,9900,Summer,8,23
KING KHALED INTL,KING KHALED INTL,2025-08-09 23:00:00,35.0,8.0,1.5,2000,Summer,8,23
AL AHSA,AL AHSA,2025-08-09 23:00:00,36.0,22.0,2.6,9999,Summer,8,23
GURIAT,GURIAT,2025-08-09 23:00:00,36.0,13.0,5.1,9999,Summer,8,23
TAIF,TAIF,2025-08-09 23:00:00,26.0,15.0,1.0,9999,Summer,8,23
YENBO,YENBO,2025-08-09 23:00:00,32.0,28.0,3.1,9999,Summer,8,23
PRINCE SALMAN BIN ABDULAZIZ,PRINCE SALMAN BIN ABDULAZIZ,2025-08-09 23:00:00,33.0,4.0,7.2,7000,Summer,8,23
HAIL,HAIL,2025-08-09 23:00:00,30.0,-5.0,0.0,9900,Summer,8,23
GASSIM,GASSIM,2025-08-09 23:00:00,33.0,5.0,2.1,9900,Summer,8,23
QAISUMAH,QAISUMAH,2025-08-09 23:00:00,36.0,3.0,2.1,9900,Summer,8,23
KING KHALED AB,KING KHALED AB,2025-08-09 23:00:00,21.0,11.0,0.0,9999,Summer,8,23
WADI AL DAWASIR,WADI AL DAWASIR,2025-08-09 23:00:00,34.0,5.0,3.1,9900,Summer,8,23
AL BAHA,AL BAHA,2025-08-09 23:00:00,28.0,7.0,2.1,9999,Summer,8,23
PRINCE MOHAMMAD BIN ABDULAZIZ,PRINCE MOHAMMAD BIN ABDULAZIZ,2025-08-09 23:00:00,39.0,5.0,3.1,6000,Summer,8,23
AL JOUF,AL JOUF,2025-08-09 23:00:00,31.0,-1.0,3.6,9900,Summer,8,23
TURAIF,TURAIF,2025-08-09 23:00:00,33.0,-3.0,3.1,9900,Summer,8,23
KING ABDULAZIZ INTL,KING ABDULAZIZ INTL,2025-08-09 23:00:00,33.0,27.0,1.5,9999,Summer,8,23
DAMMAM (KING FAHD INT. AIRPORT),DAMMAM (KING FAHD INT. AIRPORT),2025-08-09 23:00:00,34.0,28.0,2.1,9900,Summer,8,23
WEJH,WEJH,2025-08-09 23:00:00,33.0,22.0,3.6,9999,Summer,8,23
PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,PRINCE ABDULMAJEED BIN ABDULAZIZ AIRPORT,2025-08-09 23:00:00,36.0,6.0,2.1,9999,Summer,8,23
TABUK,TABUK,2025-08-09 23:00:00,36.0,5.0,2.1,9999,Summer,8,23
ARAR,ARAR,2025-08-09 23:00:00,33.0,-4.0,2.1,9900,Summer,8,23
BISHA,BISHA,2025-08-09 23:00:00,33.0,7.0,3.1,9900,Summer,8,23
SHARURAH,SHARURAH,2025-08-09 23:00:00,32.0,4.0,4.1,9900,Summer,8,23
KING ABDULAZIZ AB,KING ABDULAZIZ AB,2025-08-09 23:00:00,34.0,30.0,3.6,9900,Summer,8,23
